,uf,municipio,porte,2640000,5912002,8650006,3220500,4756300,5920100,7729202,8592903,9001902,4329105,9001906,1830001,cnpj_basico
269,AC,651,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1
270,AC,651,1.0,0,0,0,0,1,0,0,0,0,0,0,0,10
271,AC,651,1.0,0,0,0,0,1,0,1,0,0,0,0,0,1
272,AC,651,1.0,0,0,0,0,1,0,1,1,0,0,0,0,1
273,AC,651,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1
274,AC,651,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1
275,AC,651,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1
276,AC,651,3.0,0,0,0,0,0,0,1,0,0,0,0,0,3
277,AC,651,3.0,0,0,0,0,1,0,0,0,0,0,0,0,3
278,AC,651,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1
279,AC,651,5.0,0,0,0,0,1,0,0,0,0,0,1,0,1
280,AC,653,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1
281,AC,653,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1
282,AC,653,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1
283,AC,653,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
284,AC,655,1.0,0,0,0,0,0,0,0,0,0,1,0,0,5
285,AC,655,1.0,0,0,0,0,1,0,0,0,0,0,0,0,2
286,AC,655,3.0,0,0,0,0,1,0,0,0,0,0,0,0,2
287,AC,657,1.0,0,0,0,0,0,0,0,0,0,1,0,0,2
288,AC,657,1.0,0,0,0,0,0,0,0,0,0,1,1,0,1
289,AC,657,1.0,0,0,0,0,0,0,1,0,0,0,0,0,2
290,AC,657,1.0,0,0,0,0,0,0,1,1,0,0,0,0,2
291,AC,657,1.0,0,0,0,0,1,0,0,0,0,0,0,0,2
292,AC,657,3.0,0,0,0,0,1,0,0,0,0,0,0,0,2
293,AC,657,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
294,AC,659,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1
295,AC,659,3.0,0,0,1,0,0,0,0,0,0,0,0,0,1
